countid,id,date,counts,
1085171,Williamsburg Bridge,4/1/2016 0:00,38,
1427908,Queensboro Bridge,4/1/2016 0:00,0,0
161988,100009424,4/1/2016 0:00,12,4
1770636,Manhattan Bridge,4/1/2016 0:00,18,4
1980368,100010017,4/1/2016 0:00,0,0
3008470,100010020,4/1/2016 0:00,8,0
3263225,100010022,4/1/2016 0:00,7,0
3810558,100047029,4/1/2016 0:00,18,4
4318021,100051865,4/1/2016 0:00,18,4
6124339,100058279,4/1/2016 0:00,12,4
6272658,100062893,4/1/2016 0:00,18,4
6958110,300020904,4/1/2016 0:00,7,4
742449,100009426,4/1/2016 0:00,0,0
1085172,Williamsburg Bridge,4/1/2016 0:15,52,
1427909,Queensboro Bridge,4/1/2016 0:15,0,0
161989,100009424,4/1/2016 0:15,13,4
1770637,Manhattan Bridge,4/1/2016 0:15,21,4
1980369,100010017,4/1/2016 0:15,3,0
3008471,100010020,4/1/2016 0:15,1,0
3263226,100010022,4/1/2016 0:15,6,0
3810559,100047029,4/1/2016 0:15,21,4
4318022,100051865,4/1/2016 0:15,21,4
6124340,100058279,4/1/2016 0:15,7,4
6272659,100062893,4/1/2016 0:15,21,4
6958111,300020904,4/1/2016 0:15,6,4
742450,100009426,4/1/2016 0:15,0,0
1085173,Williamsburg Bridge,4/1/2016 0:30,30,
1427910,Queensboro Bridge,4/1/2016 0:30,0,0
161990,100009424,4/1/2016 0:30,8,4
1770638,Manhattan Bridge,4/1/2016 0:30,16,4
1980370,100010017,4/1/2016 0:30,0,0
3008472,100010020,4/1/2016 0:30,11,0
3263227,100010022,4/1/2016 0:30,3,0
3810560,100047029,4/1/2016 0:30,16,4
4318023,100051865,4/1/2016 0:30,16,4
6124341,100058279,4/1/2016 0:30,6,4
6272660,100062893,4/1/2016 0:30,16,4
6958112,300020904,4/1/2016 0:30,3,4
742451,100009426,4/1/2016 0:30,0,0
1085174,Williamsburg Bridge,4/1/2016 0:45,24,
1427911,Queensboro Bridge,4/1/2016 0:45,0,0
161991,100009424,4/1/2016 0:45,9,4
1770639,Manhattan Bridge,4/1/2016 0:45,12,4
1980371,100010017,4/1/2016 0:45,2,0
3008473,100010020,4/1/2016 0:45,2,0
3263228,100010022,4/1/2016 0:45,4,0
3810561,100047029,4/1/2016 0:45,12,4
4318024,100051865,4/1/2016 0:45,12,4
6124342,100058279,4/1/2016 0:45,6,4
6272661,100062893,4/1/2016 0:45,12,4
6958113,300020904,4/1/2016 0:45,4,4
742452,100009426,4/1/2016 0:45,1,0
1085175,Williamsburg Bridge,4/1/2016 1:00,24,
1427912,Queensboro Bridge,4/1/2016 1:00,0,0
161992,100009424,4/1/2016 1:00,4,4
1770640,Manhattan Bridge,4/1/2016 1:00,10,4
1980372,100010017,4/1/2016 1:00,0,0
3008474,100010020,4/1/2016 1:00,2,0
3263229,100010022,4/1/2016 1:00,3,0
3810562,100047029,4/1/2016 1:00,10,4
4318025,100051865,4/1/2016 1:00,10,4
6124343,100058279,4/1/2016 1:00,5,4
6272662,100062893,4/1/2016 1:00,10,4
6958114,300020904,4/1/2016 1:00,3,4
742453,100009426,4/1/2016 1:00,0,0
1085176,Williamsburg Bridge,4/1/2016 1:15,17,
1427913,Queensboro Bridge,4/1/2016 1:15,0,0
161993,100009424,4/1/2016 1:15,5,4
1770641,Manhattan Bridge,4/1/2016 1:15,9,4
1980373,100010017,4/1/2016 1:15,0,0
3008475,100010020,4/1/2016 1:15,1,0
3263230,100010022,4/1/2016 1:15,1,0
